Terminologie;;;;;;;;;;;;
Modèle OCDE;;;;;;Directive;;;;;Loi française;Définition
Art.;FR;;EN;;Art.;FR;;EN;;Art.;;
10.1;Contrepartie à fiscalité élevée;"Une Contrepartie à fiscalité élevée désigne une Entité constitutive qui est située dans une juridiction qui n’est pas une Juridiction à faible imposition ou qui est située dans une juridiction qui ne serait pas une
Juridiction à faible imposition si son TEI était calculé sans tenir compte des recettes ou des dépenses imputables à cette Entité au titre d’un Accord de financement intragroupe.";High-Tax Counterparty;High-Tax Counterparty means a Constituent Entity that is located in a jurisdiction that is not a Low-Tax Jurisdiction or that is located in a jurisdiction that would not be a Low-Tax Jurisdiction if its ETR were determined without regard to any income or expense accrued by that Entity in respect of an Intragroup Financing Arrangement.;16, 8;Contrepartie;"[Dans le contexte d’un accord de financement intragroupe]
Entité constitutive fournissant le crédit";Counterparty;"[In the context of an intra-group financing arrangement] 
Constituent entity providing the credit";223 VO quinquies;[Contrepartie];"[Terme absent de la loi de transposition. Plutôt que de définir le terme de contrepartie ou contrepartie à fiscalité élevé, le texte français renvoit à ""l’entité qui accorde le financement"". Le reste de la définition est intégré dans les conditions de rejet de déduction des charges liées à un accord de financement intragroupe]"
4.4.4;Impôt différé passif régularisé;Le montant de l’Impôt différé passif régularisé au titre de l’Année fiscale en cours correspond à l’augmentation d’une catégorie d’Impôt différé passif prise en compte dans le Montant total de l’ajustement pour impôt différé au titre de la cinquième Année fiscale antérieure et qui n’a pas été réglée au terme du dernier jour de l’Année fiscale en cours, à moins que ce montant ne se rapporte à une Charge d’impôt non soumise à régularisation comme indiqué à l’article 4.4.5. ;Recaptured Deferred Tax Liability;The Recaptured Deferred Tax Liability for the current Fiscal Year is the amount of the increase in a category of deferred tax liability that was included in the Total Deferred Tax Adjustment Amount in the fifth preceding Fiscal Year that has not reversed by the end of the last day of the current Fiscal Year, unless such amount relates to a Recapture Exception Accrual as set forth in Article 4.4.5. ;22, 7;Impôt différé passif régularisé;L’impôt différé passif régularisé pour l’année fiscale en cours est le montant de l’augmentation constatée dans la rubrique des charges d’impôt différé qui a été intégré dans le montant total de l’ajustement pour impôt différé au cours de la cinquième année fiscale précédant l’année fiscale en cours et qui n’a pas été annulé à la fin du dernier jour de l’année fiscale en cours.;Recaptured deferred tax liability;The recaptured deferred tax liability for the current fiscal year shall be the amount of the increase in the category of deferred tax liability that was included in the total deferred tax adjustment amount in the fifth fiscal year preceding the current fiscal year that has not reversed by the end of the last day of the current fiscal year.;223 VU sexies;[Impôt différé passif régularisé];"[Terme non employé]
Passif d'impôt différé qui n'est pas repris et dont le montant d'impôt correspondant n'est pas acquitté au cours des cinq exercices qui suivent celui de sa comptabilisation est régularisé lorsque ce passif a été pris en compte dans le montant total de la correction pour impôt différé d'une entité constitutive."
10.1;Impôts;Les Impôts désignent les versements obligatoires sans contrepartie aux Administrations publiques;Tax;Tax means a compulsory unrequited payment to General Government. ;Absent;[Impôts];[Pas de définition dans la directive];[Tax];[Pas de définition dans la directive];Absent;[Impôts];[Pas de définition dans la loi de transposition]
10.1;Accord de financement intragroupe;Tout accord conclu par deux membres ou plus du Groupe d’EMN, en vertu duquel une Contrepartie à fiscalité élevée accorde un crédit, ou réalise un investissement de toute autre manière, directement ou indirectement, au bénéfice d’une Entité faiblement imposée . ;Intragroup Financing Arrangement;Any arrangement entered into between two or more members of the MNE Group whereby a High Tax Counterparty directly or indirectly provides credit or otherwise makes an investment in a Low Tax Entity. ;16, 8;Accord de financement intragroupe;"Accord de financement au titre duquel une ou plusieurs entités constitutives accordent un crédit à une ou plusieurs autres entités constitutives du même groupe ou font un investissement dans celles-ci.

[Note : La rédaction de la version française de la directive comporte une erreur en ce que la définition de l’accord de financement intragroupe n’inclut que l’opération de crédit. Il s’agit d’une erreur absente de la version anglaise.]";Intra-group financing arrangement;Financing arrangement whereby one or more constituent entities provides credit to or otherwise makes an investment in one or more other constituent entities of the same group;223 VO, 10°;Accord de financement intragroupe;"L’opération financière au titre de laquelle une ou plusieurs entités constitutives accordent un financement à une ou plusieurs autres entités constitutives du même groupe, dans le cadre de prêts ou de la mise à disposition de sommes, ou effectuent un investissement dans ces entités ; "
10.1;Autres éléments du résultat global;Les Autres éléments du résultat global désignent les produits et charges qui ne sont pas comptabilisés en bénéfices ou en pertes, à la suite d’une obligation ou d’une possibilité prévue par les Normes comptables et financières agréées utilisées pour les états financiers consolidés. Les Autres éléments du résultat global sont généralement comptabilisés comme un ajustement portant sur les capitaux propres pour les besoins de la communication de la situation financière (bilan).;Other comprehensive income (OCI);Other Comprehensive Income means items of income and expense that are not recognised in profit or loss as required or permitted by the Authorised Financial Accounting Standard used in the Consolidated Financial Statements. Other Comprehensive Income is usually reported as an adjustment to equity in the statement of financial position (balance sheet).;Directive GloBE;Autres éléments du résultat global;"[La directive renvoie à plusieurs reprises au poste ""autres éléments du résultat global"" sans le définir]";Other comprehensive income (OCI);"[The directive refers several times to ""other comprehensive income"" without defining it.]";Loi de transposition;Autres éléments du résultat global;"[La loi de transposition réfère à plusieurs reprises au poste ""autres éléments du résultat global"" sans le définir]"
5.1.2;Bénéfice GloBE net réalisé dans une juridiction au titre d’une année fiscale;"Le bénéfice GloBE net réalisé dans une juridiction au titre d'une Année fiscale est le montant positif, le cas échéant, calculé selon la formule suivante :
Bénéfice GloBE net = Bénéfice GloBE de toutes les Entités constitutives - Pertes GloBE de toutes les entités constitutives

où :
(a) le Bénéfice GloBE de toutes les Entités constitutives correspond à la somme des Bénéfices GloBE de toutes les Entités constitutives situées dans la juridiction, déterminés conformément au chapitre 3, au titre de l’Année fiscale ; et
(b) les Déficits GloBE de toutes les Entités constitutives correspondent à la somme des Pertes GloBE de toutes les Entités constitutives situées dans la juridiction, déterminées conformément au chapitre 3, au titre de l’Année fiscale.";Net GloBE Income of a jurisdiction for a Fiscal Year;"The Net GloBE Income of a jurisdiction for a Fiscal Year is the positive amount, if any, computed in accordance with the following formula:
Net GloBE Income = GloBE Income of all Constituent Entities - GloBE Losses of all Constituent Entities

Where:
(a) the GloBE Income of all Constituent Entities is the sum of the GloBE Income of all Constituent Entities located in the jurisdiction determined in accordance with Chapter 3 for the Fiscal Year; and
(b) the GloBE Losses of all Constituent Entities is the sum of the GloBE Losses of all Constituent Entities located in the jurisdiction determined in accordance with Chapter 3 for the Fiscal Year.";26, 2;Bénéfice ou perte admissibles nets des entités constitutives situées dans la juridiction au titre d’une année fiscale;"Le bénéfice ou la perte admissibles nets des entités constitutives situées dans la juridiction au titre d’une année fiscale est déterminé selon la formule suivante:

Bénéfice ou perte admissibles nets = bénéfice admissible des entités constitutives - pertes admissibles des entités constitutives

où:

a) le bénéfice admissible des entités constitutives correspond à la somme positive, le cas échéant, des bénéfices admissibles de toutes les entités constitutives situées dans la juridiction, déterminés conformément au chapitre III;

b) les pertes admissibles des entités constitutives correspondent à la somme des pertes admissibles de toutes les entités constitutives situées dans la juridiction, déterminées conformément au chapitre III.";Net qualifying income or loss of the constituent entities in the jurisdiction for a fiscal year;"The net qualifying income or loss of the constituent entities in the jurisdiction for a fiscal year shall be determined in accordance with the following formula:

Net qualifying income or loss = qualifying income of the constituent entities - qualifying losses ofthe constituent entities

where:

(a) the qualifying income of the constituent entities is the positive sum, if any, of the qualifying income of all constituent entities located in the jurisdiction determined in accordance with Chapter III;

(b) the qualifying losses of the constituent entities are the sum of the qualifying losses of all constituent entities located in the jurisdiction determined in accordance with Chapter III.";223 VK, 1°;Bénéfice qualifié net ou perte qualifiée nette des entités constitutives;"la somme, respectivement positive ou négative, des résultats qualifiés de toutes les entités constitutives situées dans un même État ou territoire ;"
10.1;Cadre de mise en œuvre de GloBE ;Le Cadre de mise en œuvre de GloBE désigne les procédures qui seront mises en œuvre par le Cadre inclusif sur le BEPS en vue de l’élaboration des règles administratives, des instructions et des procédures destinées à faciliter l’application coordonnée des règles GloBE.;GloBE implementation framework;GloBE Implementation Framework means the procedures to be developed by the Inclusive Framework on BEPS in order to develop administrative rules, guidance, and procedures that will facilitate the co- ordinated implementation of the GloBE Rules.;Préambule;Cadre pour la mise en œuvre des règles GloBE;[Non défini. Le préambule fait référence au cadre de mise en œuvre aux paragraphes 22, 24 et 27];GloBE implementation framework;[Non défini. Le préambule fait référence au cadre de mise en œuvre aux paragraphes 22, 24 et 27];N/A;Cadre de mise en œuvre du GloBE;[Ni la loi, ni l’exposé des motifs ne mentionent le cadre de mise en œuvre du GloBE. L’exposé des motifs énumère les normes de l’OCDE servant de référence, c’est-à-dire le modèle de règles, les explications et commentaires du cadre inclusif ainsi que les orientations administratives adoptées par le cadre inclusif, y compris postérieurement à l’adoption de la directive.]
10.2.3;Structure fiscalement transparente; Un Titre de participation dans une Entité ou un Établissement stable qui est une Entité constitutive doit être considéré comme étant détenu par l’intermédiaire d’une Structure fiscalement transparente si ce Titre de participation est détenu indirectement par l’intermédiaire d’une chaîne d’Entités fiscalement transparentes. ;Tax transparent structure; An Ownership Interest in an Entity or a Permanent Establishment that is a Constituent Entity shall be treated as held through a Tax Transparent Structure if that Ownership Interest is held indirectly through a chain of Tax Transparent Entities. ;3, 12;Structure fiscalement transparente;Une participation dans une entité ou un établissement stable qui est une entité constitutive est considéré comme détenu par l’intermédiaire d’une structure fiscale transparente si cette participation est détenue indirectement par l’intermédiaire d’une chaîne d’entités fiscalement transparentes.;Tax transparent structure;"An ownership interest in an entity or a permanent establishment that is a constituent entity shall be treated as held through a tax transparent structure if that ownership interest is held indirectly through a chain of tax transparent entities;";Loi de transposition;Chaîne d’entités transparentes (structure fiscalement transparente);"[La loi de transposition ne reprend pas le terme de ""structure fiscalement transparente"" et emploi directement la notion de ""chaîne d’entités transparentes"". Il faut dire que la définition donnée par le modèle est superflue. La détention par une structure fiscalement transparente se définit comme la détention par une chaine d’entités transparentes. Or, chaque itération du terme ""structure fiscalement transparente"" peut être remplacée par ""chaine d’entités transparentes""]"
4.4.7;Charge d’impôt non réclamée; La Charge d’impôt non réclamée désigne toute majoration d’un Impôt différé passif enregistrée dans les comptes sociaux d’une Entité constitutive au titre d’une Année fiscale qui n’a pas vocation à être acquittée pendant la période indiquée à l’article 4.4.4 [5 années fiscales] et pour laquelle l’Entité constitutive déclarante exerce une Option annuelle consistant à ne pas en tenir compte dans le calcul du Montant total de l’ajustement pour Impôt différé au titre de cette Année fiscale.  ;Unclaimed accrual;Unclaimed Accrual means any increase in a deferred tax liability recorded in the financial accounts of a Constituent Entity for a Fiscal Year that is not expected to be paid within the time period set forth in Article 4.4.4 [5 fiscal years] and for which the Filing Constituent Entity makes an Annual Election not to include in Total Deferred Tax Adjustment Amount for such Fiscal Year.  ;22, 1, b);Charge d’impôt non exigée;"	
«charge d’impôt non exigée»: toute majoration d’un impôt différé passif, enregistrée dans les états financiers d’une entité constitutive au titre d’une année fiscale, qui n’a pas vocation à être acquittée pendant la période indiquée au paragraphe 7 du présent article [5 années fiscales] et que l’entité constitutive déclarante a choisi, sur une base annuelle, conformément à l’article 45, paragraphe 2, de ne pas prendre en compte dans le calcul du montant total de l’ajustement pour impôt différé au titre de cette année fiscale.";Unclaimed accrual;"	
‘unclaimed accrual’ means any increase in a deferred tax liability recorded in the financial accounts of a constituent entity for a fiscal year that is not expected to be paid within the time period set out in paragraph 7 of this Article [5 fiscal years] and which the filing constituent entity annually elects, in accordance with Article 45(2), not to include in the total deferred tax adjustment amount for such fiscal year.";223 VU;Charge d’impôt dont le paiement n’est pas exigé;"La majoration d'un passif d'impôt différé dans les états financiers d'une entité constitutive au titre d'un exercice, correspondant à une charge d'impôt qui n'a pas vocation à être acquittée au cours des cinq exercices ultérieurs et qui, sur option de l'entité constitutive déclarante, n'est pas prise en compte, au titre de cet exercice, dans le calcul du montant total de la correction pour impôt différé, déterminé selon les modalités prévues au présent paragraphe.

[L’option mentionnée est une option annuelle]"
